molecule_chembl_id,SMILES,score,name,method,mol,mw,nhd,nha,clogp,rb,ro5
CHEMBL1201056,CCn1ccc(NS(=O)(=O)c2ccc(N)cc2)nc1=O,0.84,SULFACYTINE,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d3401869d0>,294.07866130799994,2,6,0.6462000000000001,4,OK
CHEMBL2216870,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,0.838,IDELALISIB,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186a40>,415.155686416,2,7,3.7543000000000015,5,OK
CHEMBL1503,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,0.836,OMEPRAZOLE,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186ab0>,345.11471246800005,1,5,2.8997400000000013,5,OK
CHEMBL1201320,COc1ccc2[nH]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,0.836,ESOMEPRAZOLE,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186b20>,345.11471246800005,1,5,2.8997400000000013,5,OK
CHEMBL1567328,COc1ccc2[n-]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,0.836,OMEPRAZOLE MAGNESIUM,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186b90>,344.10743601591,0,5,2.5288400000000006,5,OK
CHEMBL297302,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,0.835,BENPERIDOL,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186c00>,381.18525522799996,1,4,3.7687000000000026,6,OK
CHEMBL45,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,0.835,MELATONIN,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186c70>,232.121177752,2,2,1.8550999999999997,4,OK
CHEMBL1909288,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1,0.834,TRIACETYLDIPHENOLISATIN,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186ce0>,443.136887392,0,6,3.764700000000003,4,OK
CHEMBL942,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,0.832,BISACODYL,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186d50>,361.13140808800006,0,5,4.112400000000003,5,OK
CHEMBL51,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,0.832,KETANSERIN,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186dc0>,395.16451978399994,1,5,2.423800000000001,5,OK
CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,0.831,COLCHICINE,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186e30>,399.16818752,1,6,2.871600000000001,5,OK
CHEMBL4204794,Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1,0.821,AVAPRITINIB,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186ea0>,498.2404190840001,1,10,2.6077000000000004,5,OK
CHEMBL237500,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,0.767,LINAGLIPTIN,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186ff0>,472.23352213600003,1,10,1.1474199999999997,4,OK
CHEMBL364713,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,0.759,NOSCAPINE,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340187060>,413.147452076,0,8,2.881800000000001,4,OK
CHEMBL4297528,Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1,0.758,RISDIPLAM,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d3401870d0>,401.19640835600006,1,8,1.9632399999999994,2,OK
CHEMBL3188267,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,0.479,CAPMATINIB,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340187140>,412.1447873840001,1,6,3.429000000000002,4,OK
CHEMBL2107834,COC(=O)N(C)c1c(N)nc(-c2nn(Cc3ccccc3F)c3ncccc23)nc1N,0.371,RIOCIGUAT,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d3401871b0>,422.1615000680001,2,9,2.4426999999999994,4,OK
CHEMBL3545376,COc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,0.365,ERDAFITINIB,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340187220>,446.2430242000001,1,8,4.183600000000003,9,OK
CHEMBL1201198,Cc1cccn2c(=O)c(-c3nnn[nH]3)cnc12,0.32967032967032966,PEMIROLAST,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340187300>,228.075958876,1,6,0.1830199999999999,1,OK
CHEMBL946,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,0.32558139534883723,AZATADINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340187370>,290.178298704,0,2,3.7077000000000027,0,OK
CHEMBL1697760,CC(c1ccc(Cl)c(Cl)c1)N1N=C(N)CC1=O,0.32558139534883723,MUZOLIMINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d3401873e0>,271.027917332,1,3,2.5589000000000013,2,OK
CHEMBL1257051,Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1,0.3119266055045872,TEDIZOLID,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340187450>,370.11896656000005,1,8,1.3957,4,OK
CHEMBL811,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,0.2988505747126437,BROMPHENIRAMINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d3401874c0>,318.07316070800005,0,2,3.9277000000000024,5,OK
CHEMBL1201287,CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1,0.2988505747126437,DEXBROMPHENIRAMINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340187530>,318.07316070800005,0,2,3.9277000000000024,5,OK
CHEMBL4101807,CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,0.297029702970297,VOXELOTOR,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d3401875a0>,337.14264146799997,1,6,3.6231000000000027,6,OK
CHEMBL654,CN1CCN2c3ncccc3Cc3ccccc3C2C1,0.29213483146067415,MIRTAZAPINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340187610>,265.157897608,0,3,2.4789000000000003,0,OK
CHEMBL2105669,Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](COP(=O)(O)O)OC4=O)cc3F)cn2)n1,0.2905982905982906,TEDIZOLID PHOSPHATE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340187680>,450.0852970819999,2,9,1.5126999999999997,6,OK
CHEMBL593,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,0.2882882882882883,DELAVIRDINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340187760>,456.194359756,3,6,2.7171000000000003,6,OK
CHEMBL3707348,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,0.288135593220339,ACALABRUTINIB,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d3401877d0>,465.1913229760001,2,7,3.3126000000000015,4,OK
CHEMBL1515,Cn1ccnc1S,0.2857142857142857,METHIMAZOLE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d3401878b0>,114.02516919199999,1,3,0.7087999999999999,0,OK
CHEMBL3402762,CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1,0.2807017543859649,TEPOTINIB,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340187920>,492.22737413600004,0,8,4.007880000000003,7,OK
CHEMBL4298138,C[C@H]1CNC(=O)c2cnn3ccc(nc23)N[C@H](C)c2cc(F)ccc2O1,0.2803738317757009,REPOTRECTINIB,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340187990>,355.14445303599996,2,6,2.5522,0,OK
CHEMBL188952,CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,0.27906976744186046,PIRPROFEN,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340187a00>,251.071306368,1,2,2.904300000000001,3,OK
CHEMBL1201747,CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1,0.2765957446808511,ALCAFTADINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340187ae0>,307.168462292,0,4,2.7792000000000012,1,OK
CHEMBL278819,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,0.2765957446808511,MINAPRINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340187b50>,298.179361324,1,5,2.1961199999999996,5,OK
CHEMBL637,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,0.27586206896551724,VENLAFAXINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340187bc0>,277.204179104,1,3,3.0356000000000014,5,OK
CHEMBL1201353,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,0.27586206896551724,DEXCHLORPHENIRAMINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340187c30>,274.123676288,0,2,3.8186000000000027,5,OK
CHEMBL505,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,0.27586206896551724,CHLORPHENIRAMINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340187ca0>,274.123676288,0,2,3.8186000000000027,5,OK
CHEMBL3894860,CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,0.2727272727272727,TRILACICLIB,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340187d10>,446.25425758,2,8,2.724500000000001,3,OK
CHEMBL15870,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,0.2727272727272727,INDOPROFEN,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340187d80>,281.10519334,1,2,3.0351000000000017,3,OK
CHEMBL3,CN1CCC[C@H]1c1cccnc1,0.2716049382716049,NICOTINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340187ed0>,162.115698448,0,2,1.8483,1,OK
CHEMBL178803,CCN1CCN(c2cc(-c3ccc(F)cc3)c3c(n2)CCCCCC3)CC1,0.2708333333333333,BLONANSERIN,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340187f40>,367.24237618,0,3,4.6886000000000045,3,OK
CHEMBL2325741,NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2nc[nH]c3nccc2-3)CC1,0.2702702702702703,CAPIVASERTIB,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190040>,428.1727517200001,4,6,2.1004999999999994,6,OK
CHEMBL1201758,O=C(O)CCCN1CCC(O[C@@H](c2ccc(Cl)cc2)c2ccccn2)CC1,0.2692307692307692,BEPOTASTINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190120>,388.15537034000005,1,4,4.170200000000004,8,OK
CHEMBL1193,CN(C)CCC(c1ccccc1)c1ccccn1,0.2682926829268293,PHENIRAMINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190190>,240.16264864,0,2,3.1652000000000013,5,OK
CHEMBL864,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,0.26666666666666666,CARBINOXAMINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190200>,290.11859090800004,0,3,3.4026000000000023,6,OK
CHEMBL911,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,0.26666666666666666,ZOLPIDEM,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190270>,307.168462292,0,3,3.2488400000000013,3,OK
CHEMBL681,CCOC(=O)c1cncn1[C@H](C)c1ccccc1,0.26666666666666666,ETOMIDATE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d3401902e0>,244.121177752,0,4,2.669100000000001,4,OK
CHEMBL810,Cn1nnc2c(C(N)=O)ncn2c1=O,0.26506024096385544,TEMOZOLOMIDE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190430>,194.055223432,1,7,-2.078099999999999,1,OK
CHEMBL435298,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.26506024096385544,ESFLURBIPROFEN,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d3401904a0>,244.089957876,1,1,3.6808000000000023,3,OK
CHEMBL563,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.26506024096385544,FLURBIPROFEN,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190510>,244.089957876,1,1,3.6808000000000023,3,OK
CHEMBL2205807,Cc1ccc(-c2ccc(C)cn2)nc1,0.2647058823529412,ABAMETAPIR,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190580>,184.100048384,0,2,2.760440000000001,1,OK
CHEMBL1631694,CSc1ccc(OCc2ncc([N+](=O)[O-])n2C)cc1,0.26373626373626374,FEXINIDAZOLE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190660>,279.06776227600005,0,6,2.629200000000001,5,OK
CHEMBL1146,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,0.2631578947368421,CEFAMANDOLE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d3401906d0>,462.0780096759999,3,10,-0.2255999999999989,7,OK
CHEMBL1118,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,0.2619047619047619,DESVENLAFAXINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190740>,263.18852904,2,3,2.7326000000000006,4,OK
CHEMBL22108,CC(C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1,0.2608695652173913,DIMETHINDENE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190820>,292.193948768,0,2,4.146700000000004,5,OK
CHEMBL57,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,0.2608695652173913,NEVIRAPINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190890>,266.116761068,1,4,2.6512200000000004,1,OK
CHEMBL340978,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,0.2608695652173913,BENOXAPROFEN,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190900>,301.050570924,1,3,4.336300000000002,3,OK
CHEMBL3039502,C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,0.25925925925925924,DUVELISIB,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d3401909e0>,416.11523684400004,2,6,4.483500000000002,4,OK
CHEMBL527,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,0.25806451612903225,PIROXICAM,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190a50>,331.06267689599997,2,5,1.5809999999999997,2,OK
CHEMBL1740513,CC(C)Nc1ncccn1,0.2571428571428571,ISAXONINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190b30>,137.095297352,1,3,1.2969,2,OK
CHEMBL190,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.2564102564102564,THEOPHYLLINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190ba0>,180.064725496,1,5,-1.0397000000000005,0,OK
CHEMBL1789941,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0.2549019607843137,RUXOLITINIB,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190c80>,306.159294576,1,5,3.466380000000001,4,OK
CHEMBL594,CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21,0.25263157894736843,EMEDASTINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190d60>,302.210661452,0,5,2.2146999999999997,5,OK
CHEMBL117785,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,0.25263157894736843,TETRABENAZINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190dd0>,317.199093724,0,4,3.238100000000002,4,OK
CHEMBL1214124,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,0.25263157894736843,PERAMPANEL,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190e40>,349.1215121,0,4,4.4381800000000045,3,OK
CHEMBL655,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0.25263157894736843,MIDAZOLAM,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190eb0>,325.07820331600004,0,3,4.324220000000002,1,OK
CHEMBL998,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,0.2524271844660194,LORATADINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340190f20>,382.144805656,0,3,4.887800000000005,1,OK
CHEMBL1316,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,0.25,CARPROFEN,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340191000>,273.05565630399997,2,1,4.162600000000002,2,OK
CHEMBL1201746,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0.25,PRALATREXATE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340191070>,477.1760668359999,5,9,0.9816000000000005,10,OK
CHEMBL1492,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1,0.25,DIPHENYLPYRALINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d3401911c0>,281.177964356,0,2,3.8868000000000027,4,OK
CHEMBL1371770,c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,0.24719101123595505,PIRIBEDIL,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340191380>,298.142975816,0,6,1.5274999999999999,3,OK
CHEMBL154,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,0.24691358024691357,NAPROXEN,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d3401913f0>,230.094294308,1,2,3.036500000000001,3,OK
CHEMBL1201203,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,0.24691358024691357,BENZTROPINE,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340191460>,307.19361442,0,2,4.417800000000004,4,OK
CHEMBL3353410,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,0.2459016393442623,OSIMERTINIB,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d3401914d0>,499.2695732960001,2,8,4.509800000000003,10,OK
CHEMBL2005186,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,0.24561403508771928,BELUMOSUDIL,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340191540>,452.19607400800004,3,6,4.820100000000003,7,OK
CHEMBL3286830,C[C@H]1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21,0.24561403508771928,LORLATINIB,dice_morgan,<rdkit.Chem.rdchem.Mol object at 0x72d340191620>,406.155352068,1,7,2.8006800000000016,0,OK
