type,drugbank_id,groups,name,SMILES
small molecule,DB00126,"['approved', 'nutraceutical']",Ascorbic_acid,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
small molecule,DB00128,"['approved', 'nutraceutical']",Aspartic_acid,N[C@@H](CC(O)=O)C(O)=O
small molecule,DB00129,"['approved', 'nutraceutical']",Ornithine,NCCC[C@H](N)C(O)=O
small molecule,DB00130,"['approved', 'investigational', 'nutraceutical']",L-Glutamine,N[C@@H](CCC(N)=O)C(O)=O
small molecule,DB00131,"['approved', 'investigational', 'nutraceutical', 'withdrawn']",Adenosine_phosphate,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
small molecule,DB00132,"['approved', 'investigational', 'nutraceutical']",alpha-Linolenic_acid,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O
small molecule,DB00133,"['investigational', 'nutraceutical']",Serine,N[C@@H](CO)C(O)=O
small molecule,DB00134,"['approved', 'nutraceutical']",Methionine,CSCC[C@H](N)C(O)=O
small molecule,DB00135,"['approved', 'investigational', 'nutraceutical']",Tyrosine,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O
small molecule,DB00136,"['approved', 'nutraceutical']",Calcitriol,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
small molecule,DB00137,"['approved', 'investigational', 'nutraceutical']",Lutein,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C
small molecule,DB00138,"['approved', 'nutraceutical']",Cystine,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
small molecule,DB00139,"['approved', 'nutraceutical']",Succinic_acid,OC(=O)CCC(O)=O
small molecule,DB00140,"['approved', 'investigational', 'nutraceutical', 'vet_approved']",Riboflavin,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
small molecule,DB00141,"['approved', 'investigational', 'nutraceutical']",N-Acetylglucosamine,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO
small molecule,DB00142,"['approved', 'nutraceutical']",Glutamic_acid,N[C@@H](CCC(O)=O)C(O)=O
small molecule,DB00143,"['approved', 'investigational', 'nutraceutical']",Glutathione,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
small molecule,DB00144,"['investigational', 'nutraceutical']",Phosphatidyl_serine,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCCCCCCCCCCCC
small molecule,DB00145,"['approved', 'nutraceutical', 'vet_approved']",Glycine,NCC(O)=O
small molecule,DB00146,"['approved', 'nutraceutical']",Calcifediol,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
small molecule,DB00148,"['approved', 'investigational', 'nutraceutical']",Creatine,CN(CC(O)=O)C(N)=N
small molecule,DB00149,"['investigational', 'nutraceutical']",Leucine,CC(C)C[C@H](N)C(O)=O
small molecule,DB00150,"['approved', 'nutraceutical', 'withdrawn']",Tryptophan,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O
small molecule,DB00151,"['approved', 'nutraceutical']",Cysteine,N[C@@H](CS)C(O)=O
small molecule,DB00152,"['approved', 'investigational', 'nutraceutical', 'vet_approved']",Thiamine,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
small molecule,DB00153,"['approved', 'nutraceutical']",Ergocalciferol,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
small molecule,DB00154,"['investigational', 'nutraceutical']",Dihomo-gamma-linolenic_acid,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O
small molecule,DB00155,"['investigational', 'nutraceutical']",Citrulline,N[C@@H](CCCNC(N)=O)C(O)=O
small molecule,DB00156,"['approved', 'nutraceutical']",Threonine,C[C@@H](O)[C@H](N)C(O)=O
small molecule,DB00157,"['approved', 'nutraceutical']",NADH,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
small molecule,DB00158,"['approved', 'nutraceutical', 'vet_approved']",Folic_acid,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
small molecule,DB00159,"['approved', 'nutraceutical']",Icosapent,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
small molecule,DB00161,"['approved', 'nutraceutical']",Valine,CC(C)[C@H](N)C(O)=O
small molecule,DB00162,"['approved', 'nutraceutical', 'vet_approved']",Vitamin_A,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
small molecule,DB00163,"['approved', 'nutraceutical', 'vet_approved']",Vitamin_E,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
small molecule,DB00165,"['approved', 'investigational', 'nutraceutical', 'vet_approved']",Pyridoxine,CC1=C(O)C(CO)=C(CO)C=N1
small molecule,DB00166,"['approved', 'investigational', 'nutraceutical']",Lipoic_acid,OC(=O)CCCC[C@@H]1CCSS1
small molecule,DB00167,"['investigational', 'nutraceutical']",Isoleucine,CC[C@H](C)[C@H](N)C(O)=O
small molecule,DB00168,"['investigational', 'nutraceutical']",Aspartame,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O
small molecule,DB00169,"['approved', 'nutraceutical']",Cholecalciferol,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
small molecule,DB00170,"['approved', 'nutraceutical']",Menadione,CC1=CC(=O)C2=CC=CC=C2C1=O
small molecule,DB00171,"['investigational', 'nutraceutical']",ATP,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
small molecule,DB00173,"['approved', 'nutraceutical']",Adenine,NC1=C2NC=NC2=NC=N1
small molecule,DB00174,"['approved', 'investigational', 'nutraceutical']",Asparagine,N[C@@H](CC(N)=O)C(O)=O
small molecule,DB00175,['approved'],Pravastatin,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC
small molecule,DB00176,"['approved', 'investigational']",Fluvoxamine,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F
small molecule,DB00177,"['approved', 'investigational']",Valsartan,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O
small molecule,DB00178,['approved'],Ramipril,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
small molecule,DB00179,"['approved', 'investigational']",Masoprocol,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1
small molecule,DB00180,"['approved', 'investigational']",Flunisolide,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO
small molecule,DB00181,['approved'],Baclofen,NCC(CC(O)=O)C1=CC=C(Cl)C=C1
small molecule,DB00182,"['approved', 'illicit', 'investigational']",Amphetamine,CC(N)CC1=CC=CC=C1
small molecule,DB00183,['approved'],Pentagastrin,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O
small molecule,DB00184,['approved'],Nicotine,CN1CCC[C@H]1C1=CN=CC=C1
small molecule,DB00185,['approved'],Cevimeline,CC1O[C@@]2(CS1)CN1CCC2CC1
small molecule,DB00186,['approved'],Lorazepam,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2
small molecule,DB00187,"['approved', 'withdrawn']",Esmolol,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1
small molecule,DB00188,"['approved', 'investigational']",Bortezomib,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O
small molecule,DB00189,"['approved', 'illicit', 'withdrawn']",Ethchlorvynol,CCC(O)(\C=C\Cl)C#C
small molecule,DB00190,['approved'],Carbidopa,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O
small molecule,DB00191,"['approved', 'illicit']",Phentermine,CC(C)(N)CC1=CC=CC=C1
small molecule,DB00192,['approved'],Indecainide,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12
small molecule,DB00193,"['approved', 'investigational']",Tramadol,COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C
small molecule,DB00194,"['approved', 'investigational']",Vidarabine,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
small molecule,DB00195,"['approved', 'investigational']",Betaxolol,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1
small molecule,DB00196,"['approved', 'investigational']",Fluconazole,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
small molecule,DB00197,"['approved', 'investigational', 'withdrawn']",Troglitazone,CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O
small molecule,DB00198,['approved'],Oseltamivir,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
small molecule,DB00199,"['approved', 'investigational', 'vet_approved']",Erythromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
small molecule,DB00200,['approved'],Hydroxocobalamin,[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H]
small molecule,DB00201,['approved'],Caffeine,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
small molecule,DB00202,['approved'],Succinylcholine,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
small molecule,DB00203,"['approved', 'investigational']",Sildenafil,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1
small molecule,DB00204,"['approved', 'investigational']",Dofetilide,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
small molecule,DB00205,"['approved', 'investigational', 'vet_approved']",Pyrimethamine,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1
small molecule,DB00206,"['approved', 'investigational', 'withdrawn']",Reserpine,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
small molecule,DB00207,['approved'],Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
small molecule,DB00208,['approved'],Ticlopidine,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2
small molecule,DB00209,['approved'],Trospium,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1
small molecule,DB00210,['approved'],Adapalene,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2
small molecule,DB00211,['approved'],Midodrine,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1
small molecule,DB00213,['approved'],Pantoprazole,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1
small molecule,DB00214,['approved'],Torasemide,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1
small molecule,DB00215,['approved'],Citalopram,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
small molecule,DB00216,"['approved', 'investigational']",Eletriptan,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2
small molecule,DB00217,['approved'],Bethanidine,CN\C(NCC1=CC=CC=C1)=N/C
small molecule,DB00218,"['approved', 'investigational']",Moxifloxacin,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O
small molecule,DB00219,['approved'],Oxyphenonium,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
small molecule,DB00220,['approved'],Nelfinavir,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C
small molecule,DB00221,['approved'],Isoetharine,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1
small molecule,DB00222,['approved'],Glimepiride,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O
small molecule,DB00223,['approved'],Diflorasone,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
small molecule,DB00224,['approved'],Indinavir,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12
small molecule,DB00225,"['approved', 'investigational']",Gadodiamide,[Gd+3].CNC(=O)CN(CCN(CCN(CC([O-])=O)CC(=O)NC)CC([O-])=O)CC([O-])=O
small molecule,DB00226,['approved'],Guanadrel,NC(N)=NCC1COC2(CCCCC2)O1
small molecule,DB00227,"['approved', 'investigational']",Lovastatin,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
small molecule,DB00228,"['approved', 'investigational', 'vet_approved']",Enflurane,FC(F)OC(F)(F)C(F)Cl
small molecule,DB00229,"['approved', 'investigational']",Cefotiam,[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O
small molecule,DB00230,"['approved', 'investigational']",Pregabalin,CC(C)C[C@H](CN)CC(O)=O
small molecule,DB00231,"['approved', 'investigational']",Temazepam,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1
small molecule,DB00233,['approved'],Aminosalicylic_acid,NC1=CC(O)=C(C=C1)C(O)=O
small molecule,DB00234,"['approved', 'experimental']",Reboxetine,[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1
small molecule,DB00235,['approved'],Milrinone,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1
small molecule,DB00236,['approved'],Pipobroman,BrCCC(=O)N1CCN(CC1)C(=O)CCBr
small molecule,DB00237,"['approved', 'illicit']",Butabarbital,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
small molecule,DB00238,['approved'],Nevirapine,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1
small molecule,DB00239,['approved'],Oxiconazole,ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1
small molecule,DB00240,['approved'],Alclometasone,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C
small molecule,DB00241,"['approved', 'illicit']",Butalbital,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O
small molecule,DB00242,"['approved', 'investigational']",Cladribine,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1
small molecule,DB00243,"['approved', 'investigational']",Ranolazine,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
small molecule,DB00244,['approved'],Mesalazine,NC1=CC(C(O)=O)=C(O)C=C1
small molecule,DB00245,['approved'],Benzatropine,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C
small molecule,DB00246,['approved'],Ziprasidone,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1
small molecule,DB00247,['approved'],Methysergide,[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO
small molecule,DB00248,['approved'],Cabergoline,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC
small molecule,DB00249,"['approved', 'investigational']",Idoxuridine,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O
small molecule,DB00250,"['approved', 'investigational']",Dapsone,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1
small molecule,DB00251,['approved'],Terconazole,CC(C)N1CCN(CC1)C1=CC=C(OC[C@@H]2CO[C@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1
small molecule,DB00252,"['approved', 'vet_approved']",Phenytoin,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1
small molecule,DB00253,['approved'],Medrysone,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C
small molecule,DB00254,"['approved', 'investigational', 'vet_approved']",Doxycycline,[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O
small molecule,DB00255,"['approved', 'investigational', 'withdrawn']",Diethylstilbestrol,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
small molecule,DB00256,"['approved', 'investigational']",Lymecycline,[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C
small molecule,DB00257,"['approved', 'vet_approved']",Clotrimazole,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1
small molecule,DB00258,"['approved', 'investigational']",Calcium_acetate,[Ca++].CC([O-])=O.CC([O-])=O
small molecule,DB00259,['approved'],Sulfanilamide,NC1=CC=C(C=C1)S(N)(=O)=O
small molecule,DB00260,['approved'],Cycloserine,N[C@@H]1CONC1=O
small molecule,DB00261,['approved'],Anagrelide,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl
small molecule,DB00262,"['approved', 'investigational']",Carmustine,ClCCNC(=O)N(CCCl)N=O
small molecule,DB00263,"['approved', 'vet_approved']",Sulfisoxazole,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C
small molecule,DB00264,"['approved', 'investigational']",Metoprolol,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1
small molecule,DB00265,['approved'],Crotamiton,CCN(C(=O)C=CC)C1=CC=CC=C1C
small molecule,DB00266,['approved'],Dicoumarol,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2
small molecule,DB00267,['approved'],Cefmenoxime,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O
small molecule,DB00268,"['approved', 'investigational']",Ropinirole,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
