molecule_chembl_id,SMILES,score,name,method
CHEMBL1522,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,0.854,ESZOPICLONE,swiss
CHEMBL1233,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,0.854,CARISOPRODOL,swiss
CHEMBL135400,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,0.854,ZOPICLONE,swiss
CHEMBL9967,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,0.853,PIRENZEPINE,swiss
CHEMBL2103875,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,0.851,TRAMETINIB,swiss
CHEMBL1771,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,0.85,CLOPIDOGREL,swiss
CHEMBL2107386,CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C/c1ccc(-c2cccc(F)c2)cn1,0.848,VORAPAXAR SULFATE,swiss
CHEMBL779,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,0.846,TADALAFIL,swiss
CHEMBL19224,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,0.846,PAPAVERINE,swiss
CHEMBL4297526,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21,0.846,REMIMAZOLAM,swiss
CHEMBL277062,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,0.845,BROMAZEPAM,swiss
CHEMBL3989833,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,0.845,ZIPRASIDONE MESYLATE,swiss
CHEMBL521686,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,0.843,OLAPARIB,swiss
CHEMBL1201168,Cc1cc(C(=O)NNCc2ccccc2)no1,0.843,ISOCARBOXAZID,swiss
CHEMBL3989786,CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,0.843,THIOPROPAZATE HYDROCHLORIDE,swiss
CHEMBL1256841,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,0.842,NIALAMIDE,swiss
CHEMBL407,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,0.842,FLUMAZENIL,swiss
CHEMBL2104445,CCOc1c(N)c2c(c(OCC)c1OCC)C(C1c3c(cc4c(c3OC)OCO4)CCN1C)OC2=O,0.842,TRITOQUALINE,swiss
CHEMBL628,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,0.841,PENTOXIFYLLINE,swiss
CHEMBL3183075,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,0.841,NIZATIDINE,swiss
CHEMBL1402684,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)Nc3ccccc32)cc1,0.84,OXYPHENISATIN ACETATE,swiss
CHEMBL1200470,COc1ccc2[n-]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,0.84,ESOMEPRAZOLE SODIUM,swiss
CHEMBL1201056,CCn1ccc(NS(=O)(=O)c2ccc(N)cc2)nc1=O,0.84,SULFACYTINE,swiss
CHEMBL2216870,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,0.838,IDELALISIB,swiss
CHEMBL1503,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,0.836,OMEPRAZOLE,swiss
CHEMBL1201320,COc1ccc2[nH]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,0.836,ESOMEPRAZOLE,swiss
CHEMBL1567328,COc1ccc2[n-]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,0.836,OMEPRAZOLE MAGNESIUM,swiss
CHEMBL297302,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,0.835,BENPERIDOL,swiss
CHEMBL45,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,0.835,MELATONIN,swiss
CHEMBL1909288,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1,0.834,TRIACETYLDIPHENOLISATIN,swiss
CHEMBL942,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,0.832,BISACODYL,swiss
CHEMBL51,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,0.832,KETANSERIN,swiss
CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,0.831,COLCHICINE,swiss
CHEMBL4204794,Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1,0.821,AVAPRITINIB,swiss
CHEMBL3948730,CC(C)Oc1ccc(-c2nn([C@@H](C)c3oc4ccc(F)cc4c(=O)c3-c3cccc(F)c3)c3ncnc(N)c23)cc1F,0.808,UMBRALISIB,swiss
CHEMBL4297503,COC(=O)OCOc1c2n(ccc1=O)N([C@@H]1c3ccccc3SCc3c1ccc(F)c3F)[C@@H]1COCCN1C2=O,0.798,BALOXAVIR MARBOXIL,swiss
CHEMBL237500,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,0.767,LINAGLIPTIN,swiss
CHEMBL364713,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,0.759,NOSCAPINE,swiss
CHEMBL4297528,Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1,0.758,RISDIPLAM,swiss
CHEMBL3188267,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,0.479,CAPMATINIB,swiss
CHEMBL2107834,COC(=O)N(C)c1c(N)nc(-c2nn(Cc3ccccc3F)c3ncccc23)nc1N,0.371,RIOCIGUAT,swiss
CHEMBL3545376,COc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,0.365,ERDAFITINIB,swiss
CHEMBL3813873,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,0.35,PEXIDARTINIB,swiss
CHEMBL1201198,Cc1cccn2c(=O)c(-c3nnn[nH]3)cnc12,0.32967032967032966,PEMIROLAST,dice_morgan
CHEMBL946,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,0.32558139534883723,AZATADINE,dice_morgan
CHEMBL1697760,CC(c1ccc(Cl)c(Cl)c1)N1N=C(N)CC1=O,0.32558139534883723,MUZOLIMINE,dice_morgan
CHEMBL1257051,Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1,0.3119266055045872,TEDIZOLID,dice_morgan
CHEMBL811,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,0.2988505747126437,BROMPHENIRAMINE,dice_morgan
CHEMBL1201287,CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1,0.2988505747126437,DEXBROMPHENIRAMINE,dice_morgan
CHEMBL4101807,CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,0.297029702970297,VOXELOTOR,dice_morgan
CHEMBL654,CN1CCN2c3ncccc3Cc3ccccc3C2C1,0.29213483146067415,MIRTAZAPINE,dice_morgan
CHEMBL2105669,Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](COP(=O)(O)O)OC4=O)cc3F)cn2)n1,0.2905982905982906,TEDIZOLID PHOSPHATE,dice_morgan
CHEMBL2023898,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C,0.28846153846153844,DACLATASVIR,dice_morgan
CHEMBL593,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,0.2882882882882883,DELAVIRDINE,dice_morgan
CHEMBL3707348,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,0.288135593220339,ACALABRUTINIB,dice_morgan
CHEMBL601719,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,0.2857142857142857,CRIZOTINIB,dice_morgan
CHEMBL1515,Cn1ccnc1S,0.2857142857142857,METHIMAZOLE,dice_morgan
CHEMBL3402762,CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1,0.2807017543859649,TEPOTINIB,dice_morgan
CHEMBL4298138,C[C@H]1CNC(=O)c2cnn3ccc(nc23)N[C@H](C)c2cc(F)ccc2O1,0.2803738317757009,REPOTRECTINIB,dice_morgan
CHEMBL188952,CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,0.27906976744186046,PIRPROFEN,dice_morgan
CHEMBL1201204,Cc1cc(O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)cn1,0.27692307692307694,CEFPIRAMIDE,dice_morgan
CHEMBL1201747,CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1,0.2765957446808511,ALCAFTADINE,dice_morgan
CHEMBL278819,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,0.2765957446808511,MINAPRINE,dice_morgan
CHEMBL637,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,0.27586206896551724,VENLAFAXINE,dice_morgan
CHEMBL1201353,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,0.27586206896551724,DEXCHLORPHENIRAMINE,dice_morgan
CHEMBL505,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,0.27586206896551724,CHLORPHENIRAMINE,dice_morgan
CHEMBL3894860,CN1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,0.2727272727272727,TRILACICLIB,dice_morgan
CHEMBL15870,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,0.2727272727272727,INDOPROFEN,dice_morgan
CHEMBL4535757,C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1,0.272,SOTORASIB,dice_morgan
CHEMBL277535,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,0.2716049382716049,BIFONAZOLE,dice_morgan
CHEMBL3,CN1CCC[C@H]1c1cccnc1,0.2716049382716049,NICOTINE,dice_morgan
CHEMBL178803,CCN1CCN(c2cc(-c3ccc(F)cc3)c3c(n2)CCCCCC3)CC1,0.2708333333333333,BLONANSERIN,dice_morgan
CHEMBL2325741,NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2nc[nH]c3nccc2-3)CC1,0.2702702702702703,CAPIVASERTIB,dice_morgan
CHEMBL4582651,CO[C@]1(C(=O)N[C@@H](C)c2ccc(-n3cc(F)cn3)nc2)CC[C@H](c2nc(C)cc(Nc3cc(C)[nH]n3)n2)CC1,0.2698412698412698,PRALSETINIB,dice_morgan
CHEMBL1201758,O=C(O)CCCN1CCC(O[C@@H](c2ccc(Cl)cc2)c2ccccn2)CC1,0.2692307692307692,BEPOTASTINE,dice_morgan
CHEMBL1193,CN(C)CCC(c1ccccc1)c1ccccn1,0.2682926829268293,PHENIRAMINE,dice_morgan
CHEMBL864,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,0.26666666666666666,CARBINOXAMINE,dice_morgan
CHEMBL911,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,0.26666666666666666,ZOLPIDEM,dice_morgan
CHEMBL681,CCOC(=O)c1cncn1[C@H](C)c1ccccc1,0.26666666666666666,ETOMIDATE,dice_morgan
CHEMBL1201218,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](OC=O)c3ccccc3)[C@H]2SC1,0.26666666666666666,CEFAMANDOLE NAFATE,dice_morgan
CHEMBL3039514,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc3c(c2)O[C@@H](c2ccccc2)n2c-3cc3cc(-c4c[nH]c([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)n4)ccc32)c[nH]1)C(C)C,0.265625,ELBASVIR,dice_morgan
CHEMBL810,Cn1nnc2c(C(N)=O)ncn2c1=O,0.26506024096385544,TEMOZOLOMIDE,dice_morgan
CHEMBL435298,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.26506024096385544,ESFLURBIPROFEN,dice_morgan
CHEMBL563,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.26506024096385544,FLURBIPROFEN,dice_morgan
CHEMBL2205807,Cc1ccc(-c2ccc(C)cn2)nc1,0.2647058823529412,ABAMETAPIR,dice_morgan
CHEMBL91397,Cc1cncc(CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1,0.2641509433962264,RUPATADINE,dice_morgan
CHEMBL1631694,CSc1ccc(OCc2ncc([N+](=O)[O-])n2C)cc1,0.26373626373626374,FEXINIDAZOLE,dice_morgan
CHEMBL1146,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1,0.2631578947368421,CEFAMANDOLE,dice_morgan
CHEMBL1118,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,0.2619047619047619,DESVENLAFAXINE,dice_morgan
CHEMBL507674,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,0.26153846153846155,CEFOPERAZONE,dice_morgan
CHEMBL22108,CC(C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1,0.2608695652173913,DIMETHINDENE,dice_morgan
CHEMBL57,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,0.2608695652173913,NEVIRAPINE,dice_morgan
CHEMBL340978,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,0.2608695652173913,BENOXAPROFEN,dice_morgan
CHEMBL206253,Cc1ccccc1-c1cc(N2CCN(C)CC2)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.25925925925925924,NETUPITANT,dice_morgan
CHEMBL3039502,C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,0.25925925925925924,DUVELISIB,dice_morgan
CHEMBL527,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,0.25806451612903225,PIROXICAM,dice_morgan
CHEMBL4298128,Cc1nn(C)cc1S(=O)(=O)NC(=O)c1ccc(-n2ccc(OCC(C)(C)C(F)(F)F)n2)nc1N1C[C@@H](C)CC1(C)C,0.25806451612903225,ELEXACAFTOR,dice_morgan
CHEMBL1740513,CC(C)Nc1ncccn1,0.2571428571428571,ISAXONINE,dice_morgan
CHEMBL190,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.2564102564102564,THEOPHYLLINE,dice_morgan
CHEMBL1554,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,0.2553191489361702,DACTINOMYCIN,dice_morgan
CHEMBL1789941,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0.2549019607843137,RUXOLITINIB,dice_morgan
CHEMBL1292,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,0.2549019607843137,CLOFAZIMINE,dice_morgan
CHEMBL594,CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21,0.25263157894736843,EMEDASTINE,dice_morgan
CHEMBL117785,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,0.25263157894736843,TETRABENAZINE,dice_morgan
CHEMBL1214124,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,0.25263157894736843,PERAMPANEL,dice_morgan
CHEMBL655,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0.25263157894736843,MIDAZOLAM,dice_morgan
CHEMBL998,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,0.2524271844660194,LORATADINE,dice_morgan
CHEMBL1136,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,0.2517482517482518,TELITHROMYCIN,dice_morgan
CHEMBL1316,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,0.25,CARPROFEN,dice_morgan
CHEMBL1201746,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0.25,PRALATREXATE,dice_morgan
CHEMBL1014,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0.25,CANDESARTAN CILEXETIL,dice_morgan
CHEMBL54349,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,0.25,ALPIDEM,dice_morgan
CHEMBL1492,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1,0.25,DIPHENYLPYRALINE,dice_morgan
CHEMBL1471,C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.25,APREPITANT,dice_morgan
CHEMBL3301612,COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1,0.24793388429752067,ENCORAFENIB,dice_morgan
CHEMBL238804,CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,0.24761904761904763,SELEXIPAG,dice_morgan
CHEMBL1371770,c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,0.24719101123595505,PIRIBEDIL,dice_morgan
CHEMBL154,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,0.24691358024691357,NAPROXEN,dice_morgan
CHEMBL1201203,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,0.24691358024691357,BENZTROPINE,dice_morgan
CHEMBL3353410,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,0.2459016393442623,OSIMERTINIB,dice_morgan
CHEMBL2005186,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,0.24561403508771928,BELUMOSUDIL,dice_morgan
CHEMBL3301610,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,0.24561403508771928,ABEMACICLIB,dice_morgan
CHEMBL3286830,C[C@H]1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21,0.24561403508771928,LORLATINIB,dice_morgan
CHEMBL46,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,0.24489795918367346,ONDANSETRON,dice_morgan
CHEMBL302795,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,0.24489795918367346,TENOXICAM,dice_morgan
CHEMBL12,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.24444444444444444,DIAZEPAM,dice_morgan
CHEMBL2111030,CN(C)CCCN1c2ccccc2Sc2cccnc21,0.24444444444444444,PROTHIPENDYL,dice_morgan
CHEMBL284092,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,0.24444444444444444,GEPIRONE,dice_morgan
CHEMBL778,Cc1cccc([C@H](C)c2c[nH]cn2)c1C,0.24390243902439024,DEXMEDETOMIDINE,dice_morgan
CHEMBL16476,CC(C)NCC(O)c1ccc2ccccc2c1,0.24390243902439024,PRONETALOL,dice_morgan
CHEMBL485253,CCC(CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,0.24299065420560748,METHYSERGIDE,dice_morgan
CHEMBL1095607,Cn1c(=O)c2c(ncn2CCCNCC(O)c2cc(O)cc(O)c2)n(C)c1=O,0.24242424242424243,REPROTEROL,dice_morgan
CHEMBL534,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,0.24175824175824176,KETOTIFEN,dice_morgan
CHEMBL305187,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,0.24175824175824176,IFENPRODIL,dice_morgan
CHEMBL1909285,Cc1nc([N+](=O)[O-])cn1-c1ccc([N+](=O)[O-])cc1,0.24096385542168675,NITREFAZOLE,dice_morgan
CHEMBL1201224,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1,0.24,CEFMENOXIME,dice_morgan
CHEMBL648,CN1CCN(C(c2ccccc2)c2ccccc2)CC1,0.24,CYCLIZINE,dice_morgan
CHEMBL3545062,COC[C@H]1C[C@@H](c2nc(-c3ccc4c(c3)COc3cc5c(ccc6nc([C@@H]7CC[C@H](C)N7C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]c65)cc3-4)c[nH]2)N(C(=O)[C@H](NC(=O)OC)c2ccccc2)C1,0.24,VELPATASVIR,dice_morgan
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,0.23931623931623933,IMATINIB,dice_morgan
CHEMBL4297666,CC(C)OC(=O)CNc1cccc(CN(Cc2ccc(-n3cccn3)cc2)S(=O)(=O)c2cccnc2)n1,0.23931623931623933,OMIDENEPAG ISOPROPYL,dice_morgan
CHEMBL831,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,0.2391304347826087,LOXAPINE,dice_morgan
CHEMBL4596392,CNC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,0.23853211009174313,CRAVACITINIB,dice_morgan
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0.23853211009174313,METHOTREXATE,dice_morgan
CHEMBL37390,CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,0.23809523809523808,PROXYPHYLLINE,dice_morgan
CHEMBL638,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,0.2376237623762376,VORICONAZOLE,dice_morgan
CHEMBL1201197,C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21,0.23728813559322035,ALATROFLOXACIN,dice_morgan
CHEMBL113,Cn1c(=O)c2c(ncn2C)n(C)c1=O,0.23684210526315788,CAFFEINE,dice_morgan
CHEMBL457547,CCCCCOc1ccc(-c2cc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)c(OS(=O)(=O)O)c5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)no2)cc1,0.23668639053254437,MICAFUNGIN,dice_morgan
CHEMBL1201322,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c1ncccn1,0.23655913978494625,THONZONIUM,dice_morgan
CHEMBL517,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,0.23655913978494625,DISOPYRAMIDE,dice_morgan
CHEMBL661,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,0.23655913978494625,ALPRAZOLAM,dice_morgan
CHEMBL2028019,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,0.23529411764705882,CARIPRAZINE,dice_morgan
CHEMBL1741134,O=S(=O)(O)Oc1ccc(C(c2ccc(OS(=O)(=O)O)cc2)c2ccccn2)cc1,0.23529411764705882,PICOSULFURIC ACID,dice_morgan
