action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,2021467,[],CHEMBL903499,Inhibition of Met kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@@H]6CNCCO6)c45)ccc32)c1,,,CHEMBL1139130,Bioorg Med Chem Lett,2007,"{'bei': '10.64', 'le': '0.20', 'lle': '1.67', 'sei': '5.73'}",CHEMBL246284,,CHEMBL246284,5.19,0,http://www.openphacts.org/units/Nanomolar,671670,=,1,1,=,,IC50,nM,,6500.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,6.5
,,2025984,[],CHEMBL887089,Inhibition of cMet by radioactive filtration assay,B,,,BAO_0000190,BAO_0000357,single protein format,CNc1ncnc(-c2cccnc2Oc2cc(NC(=O)c3cccc(OC(F)(F)C(F)F)c3)ccc2C)n1,,,CHEMBL1139197,Bioorg Med Chem Lett,2007,"{'bei': '8.71', 'le': '0.17', 'lle': '-0.97', 'sei': '4.14'}",CHEMBL246356,,CHEMBL246356,4.60,0,http://www.openphacts.org/units/Nanomolar,672883,=,1,1,=,,IC50,nM,,25000.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,nM,UO_0000065,,25000.0
,,2039030,[],CHEMBL923215,Inhibition of Met,B,,,BAO_0000190,BAO_0000357,single protein format,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@@H]6CNCCO6)c45)ccc32)c1,,,CHEMBL1140690,Bioorg Med Chem Lett,2007,"{'bei': '10.64', 'le': '0.20', 'lle': '1.67', 'sei': '5.73'}",CHEMBL246284,,CHEMBL246284,5.19,1,http://www.openphacts.org/units/Nanomolar,676706,=,1,1,=,,IC50,nM,,6500.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,6.5
,,2039054,[],CHEMBL923215,Inhibition of Met,B,,,BAO_0000190,BAO_0000357,single protein format,NC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,,,CHEMBL1140690,Bioorg Med Chem Lett,2007,"{'bei': '11.49', 'le': '0.21', 'lle': '1.48', 'sei': '6.06'}",CHEMBL248108,,CHEMBL248108,5.41,0,http://www.openphacts.org/units/Nanomolar,676708,=,1,1,=,,IC50,nM,,3900.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,3.9
,,2073746,[],CHEMBL928875,Inhibition of Met,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(Sc2cnc(Nc3cccc(Br)n3)s2)cc1C(=O)N1CCN(C(=O)[C@@H](C)N)CC1,,,CHEMBL1140800,Bioorg Med Chem Lett,2008,"{'bei': '12.06', 'le': '0.27', 'lle': '2.63', 'sei': '6.48'}",CHEMBL251796,,CHEMBL251796,6.77,0,http://www.openphacts.org/units/Nanomolar,687688,=,1,1,=,,IC50,nM,,170.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.17
,,2073748,[],CHEMBL928875,Inhibition of Met,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(Sc2cnc(Nc3cccc(Br)n3)s2)cc1C(=O)N1CCN(C(=O)CN)CC1,,,CHEMBL1140800,Bioorg Med Chem Lett,2008,"{'bei': '11.63', 'le': '0.26', 'lle': '2.62', 'sei': '6.10'}",CHEMBL254895,,CHEMBL254895,6.37,0,http://www.openphacts.org/units/Nanomolar,687686,=,1,1,=,,IC50,nM,,430.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.43
,,2081319,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,Cc1ccn2ncnc(Oc3ccc(NC(=O)c4ccccc4F)cc3F)c12,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '16.09', 'le': '0.30', 'lle': '1.76', 'sei': '8.93'}",CHEMBL399710,,CHEMBL399710,6.12,0,http://www.openphacts.org/units/Nanomolar,689958,=,1,1,=,,IC50,nM,,760.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.76
,,2081320,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,NC1CCC(=Cc2ccn3ncnc(Oc4ccc(NC(=O)NC(=O)Cc5ccc(F)cc5)cc4F)c23)CC1,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '16.57', 'le': '0.31', 'lle': '3.84', 'sei': '7.14'}",CHEMBL254086,,CHEMBL254086,8.82,0,http://www.openphacts.org/units/Nanomolar,689993,=,1,1,=,,IC50,nM,,1.5,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.0015
,,2081321,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,N[C@@H]1CCN(Cc2ccn3ncnc(Oc4ccc(NC(=O)NC(=O)Cc5ccc(F)cc5)cc4F)c23)C[C@H]1O,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '13.47', 'le': '0.25', 'lle': '4.85', 'sei': '5.05'}",CHEMBL254085,,CHEMBL254085,7.43,0,http://www.openphacts.org/units/Nanomolar,689992,=,1,1,=,,IC50,nM,,37.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.037
,,2081322,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,NCC1CCN(Cc2ccn3ncnc(Oc4ccc(NC(=O)NC(=O)Cc5ccc(F)cc5)cc4F)c23)CC1,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '10.92', 'le': '0.20', 'lle': '2.14', 'sei': '4.73'}",CHEMBL430027,,CHEMBL430027,6.00,0,http://www.openphacts.org/units/Nanomolar,689991,=,1,1,=,,IC50,nM,,1000.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,1.0
,,2081323,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,O=C(Cc1ccc(F)cc1)NC(=O)Nc1ccc(Oc2ncnn3ccc(CNC4CCNCC4)c23)c(F)c1,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '12.74', 'le': '0.24', 'lle': '3.29', 'sei': '5.61'}",CHEMBL429490,,CHEMBL429490,6.82,0,http://www.openphacts.org/units/Nanomolar,689990,=,1,1,=,,IC50,nM,,150.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.15
,,2081324,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,CC(=O)NC1CCN(Cc2ccn3ncnc(Oc4ccc(NC(=O)NC(=O)Cc5ccc(F)cc5)cc4F)c23)CC1,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '11.01', 'le': '0.21', 'lle': '2.57', 'sei': '4.89'}",CHEMBL253444,,CHEMBL253444,6.36,0,http://www.openphacts.org/units/Nanomolar,689989,=,1,1,=,,IC50,nM,,440.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.44
,,2081325,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,O=C(Cc1ccc(F)cc1)NC(=O)Nc1ccc(Oc2ncnn3ccc(CN4CCC(O)CC4)c23)c(F)c1,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '11.27', 'le': '0.21', 'lle': '2.40', 'sei': '4.99'}",CHEMBL253882,,CHEMBL253882,6.05,0,http://www.openphacts.org/units/Nanomolar,689988,=,1,1,=,,IC50,nM,,900.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.9
,,2081326,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,NC1CCN(Cc2ccn3ncnc(Oc4ccc(NC(=O)NC(=O)Cc5ccc(F)cc5)cc4F)c23)CC1,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '13.72', 'le': '0.26', 'lle': '3.74', 'sei': '5.79'}",CHEMBL253881,,CHEMBL253881,7.35,0,http://www.openphacts.org/units/Nanomolar,689987,=,1,1,=,,IC50,nM,,45.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.045
,,2081327,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,NCC1CN(Cc2ccn3ncnc(Oc4ccc(NC(=O)NC(=O)Cc5ccc(F)cc5)cc4F)c23)C1,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '12.93', 'le': '0.24', 'lle': '3.66', 'sei': '5.32'}",CHEMBL400726,,CHEMBL400726,6.75,0,http://www.openphacts.org/units/Nanomolar,689986,=,1,1,=,,IC50,nM,,180.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.18
,,2081328,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,N[C@H]1CCN(Cc2ccn3ncnc(Oc4ccc(NC(=O)NC(=O)Cc5ccc(F)cc5)cc4F)c23)C1,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '12.89', 'le': '0.24', 'lle': '3.50', 'sei': '5.30'}",CHEMBL428944,,CHEMBL428944,6.72,0,http://www.openphacts.org/units/Nanomolar,689985,=,1,1,=,,IC50,nM,,190.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.19
,,2081329,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,N[C@@H]1CCN(Cc2ccn3ncnc(Oc4ccc(NC(=O)NC(=O)Cc5ccc(F)cc5)cc4F)c23)C1,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '12.19', 'le': '0.23', 'lle': '3.14', 'sei': '5.01'}",CHEMBL253657,,CHEMBL253657,6.36,0,http://www.openphacts.org/units/Nanomolar,689984,=,1,1,=,,IC50,nM,,440.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.44
,,2081330,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,O=C(Cc1ccc(F)cc1)NC(=O)Nc1ccc(Oc2ncnn3ccc(CN4CCOCC4)c23)c(F)c1,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '11.49', 'le': '0.22', 'lle': '2.48', 'sei': '5.45'}",CHEMBL253656,,CHEMBL253656,6.00,0,http://www.openphacts.org/units/Nanomolar,689983,=,1,1,=,,IC50,nM,,990.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.99
,,2081331,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,CN1CCN(Cc2ccn3ncnc(Oc4ccc(NC(=O)NC(=O)Cc5ccc(F)cc5)cc4F)c23)CC1,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '11.33', 'le': '0.21', 'lle': '2.63', 'sei': '5.83'}",CHEMBL252416,,CHEMBL252416,6.07,0,http://www.openphacts.org/units/Nanomolar,689982,=,1,1,=,,IC50,nM,,860.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.86
,,2081332,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,O=C(Cc1ccc(F)cc1)NC(=O)Nc1ccc(Oc2ncnn3ccc(CN4CCNCC4)c23)c(F)c1,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '12.25', 'le': '0.23', 'lle': '3.29', 'sei': '5.66'}",CHEMBL252415,,CHEMBL252415,6.39,0,http://www.openphacts.org/units/Nanomolar,689981,=,1,1,=,,IC50,nM,,410.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.41
,,2081333,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,NCCCNCc1ccn2ncnc(Oc3ccc(NC(=O)NC(=O)Cc4ccc(F)cc4)cc3F)c12,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '11.49', 'le': '0.22', 'lle': '2.72', 'sei': '4.31'}",CHEMBL252214,,CHEMBL252214,5.85,0,http://www.openphacts.org/units/Nanomolar,689980,=,1,1,=,,IC50,nM,,1400.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,1.4
,,2081334,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,O=C(Cc1ccc(F)cc1)NC(=O)Nc1ccc(Oc2ncnn3ccc(-c4ccccc4)c23)c(F)c1,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '13.18', 'le': '0.24', 'lle': '1.23', 'sei': '6.75'}",CHEMBL252213,,CHEMBL252213,6.58,0,http://www.openphacts.org/units/Nanomolar,689979,=,1,1,=,,IC50,nM,,260.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.26
,,2081336,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,Cc1c(OCCCN(C)C)cn2ncnc(Oc3ccc(NC(=O)NC(=O)Cc4ccc(F)cc4)cc3F)c12,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '13.74', 'le': '0.26', 'lle': '3.07', 'sei': '6.72'}",CHEMBL438696,,CHEMBL438696,7.40,0,http://www.openphacts.org/units/Nanomolar,689977,=,1,1,=,,IC50,nM,,40.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.04
,,2081337,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,Cc1c(OCCN(C)C)cn2ncnc(Oc3ccc(NC(=O)NC(=O)Cc4ccc(F)cc4)cc3F)c12,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '13.01', 'le': '0.25', 'lle': '2.88', 'sei': '6.20'}",CHEMBL400556,,CHEMBL400556,6.82,0,http://www.openphacts.org/units/Nanomolar,689976,=,1,1,=,,IC50,nM,,150.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.15
,,2081338,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,Cc1c(OCCN2CCN(C)CC2)cn2ncnc(Oc3ccc(NC(=O)NC(=O)Cc4ccc(F)cc4)cc3F)c12,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '12.60', 'le': '0.24', 'lle': '3.67', 'sei': '6.44'}",CHEMBL413996,,CHEMBL413996,7.30,0,http://www.openphacts.org/units/Nanomolar,689975,=,1,1,=,,IC50,nM,,50.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.05
,,2081339,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,Cc1c(OCCCN(C)C)cn2ncnc(Oc3ccc(NC(=O)CC(=O)Nc4ccc(F)cc4)cc3F)c12,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '13.97', 'le': '0.26', 'lle': '3.11', 'sei': '6.83'}",CHEMBL254280,,CHEMBL254280,7.52,0,http://www.openphacts.org/units/Nanomolar,689974,=,1,1,=,,IC50,nM,,30.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.03
,,2081340,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,Cc1c(OCCN(C)C)cn2ncnc(Oc3ccc(NC(=O)CC(=O)Nc4ccc(F)cc4)cc3F)c12,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '13.07', 'le': '0.25', 'lle': '2.83', 'sei': '6.23'}",CHEMBL254907,,CHEMBL254907,6.85,0,http://www.openphacts.org/units/Nanomolar,689973,=,1,1,=,,IC50,nM,,140.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.14
,,2081341,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,Cc1c(OCCN2CCOCC2)cn2ncnc(Oc3ccc(NC(=O)CC(=O)Nc4ccc(F)cc4)cc3F)c12,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '12.15', 'le': '0.23', 'lle': '3.10', 'sei': '5.77'}",CHEMBL401344,,CHEMBL401344,6.89,0,http://www.openphacts.org/units/Nanomolar,689972,=,1,1,=,,IC50,nM,,130.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.13
,,2081342,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,Cc1c(OCCN2CCN(C)CC2)cn2ncnc(Oc3ccc(NC(=O)CC(=O)Nc4ccc(F)cc4)cc3F)c12,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '12.76', 'le': '0.24', 'lle': '3.70', 'sei': '6.53'}",CHEMBL399698,,CHEMBL399698,7.40,0,http://www.openphacts.org/units/Nanomolar,689971,=,1,1,=,,IC50,nM,,40.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.04
,,2081343,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,Cc1ccn2ncnc(Oc3ccc(NC(=O)CC(=O)Nc4ccc(F)cc4)cc3F)c12,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '13.96', 'le': '0.26', 'lle': '2.03', 'sei': '6.26'}",CHEMBL253223,,CHEMBL253223,6.11,0,http://www.openphacts.org/units/Nanomolar,689970,=,1,1,=,,IC50,nM,,780.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.78
,,2081344,[],CHEMBL928636,Inhibition of human recombinant c-Met expressed in insect cell-baculovirus expression system,B,,,BAO_0000190,BAO_0000019,assay format,Cc1c(OCCCN(C)C)cn2ncnc(Oc3ccc(NC(=O)c4cccnc4)cc3F)c12,,,CHEMBL1141528,Bioorg Med Chem Lett,2008,"{'bei': '15.40', 'le': '0.29', 'lle': '3.20', 'sei': '7.62'}",CHEMBL253222,,CHEMBL253222,7.16,0,http://www.openphacts.org/units/Nanomolar,689969,=,1,1,=,,IC50,nM,,70.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,0.07
