name,deltaG,SMILES,db
PF-477736,-10.41,CN1C=C(C=N1)C1=C2C=NNC(=O)C3=C2C(N1)=CC(NC(=O)[C@H](N)C1CCCCC1)=C3,db_56
"N-(4-(1-cyclopropyl-4-fluoro-2-methyl-1H-benzo(d)imidazol-6-yl)-5-fluoropyrimidin-2-yl)-6-(2-(dimethylamino)ethyl)-5,6,7,8-tetrahydro-l,6-naphthyridin-2-amine",-10.39,CN(C)CCN1CCC2=C(C1)C=CC(NC1=NC=C(F)C(=N1)C1=CC(F)=C3N=C(C)N(C4CC4)C3=C1)=N2,db_158
Chiauranib,-10.36,COC1=CC=C2C(OC3=CC4=CC=CC(C(=O)NC5=CC=CC=C5N)=C4C=C3)=CC=NC2=C1,db_119
Edralbrutinib,-10.33,CC#CC(=O)N1CC[C@H](C1)N1C=C(C2=C1C(=O)NN=C2N)C1=CC=C(OC2=C(F)C=CC=C2F)C=C1,db_156
Lanabecestat,-10.29,CO[C@H]1CC[C@@]2(CC3=CC=C(C=C3[C@@]22N=C(C)C(N)=N2)C2=CC(=CN=C2)C#CC)CC1,db_86
Capmatinib,-10.18,CNC(=O)C1=C(F)C=C(C=C1)C1=NN2C(CC3=CC4=C(C=C3)N=CC=C4)=CN=C2N=C1,db_29
Capmatinib,-10.18,CNC(=O)C1=C(F)C=C(C=C1)C1=NN2C(CC3=CC4=C(C=C3)N=CC=C4)=CN=C2N=C1,db_130
Belumosudil,-10.18,CC(C)NC(=O)COC1=CC=CC(=C1)C1=NC2=C(C=CC=C2)C(NC2=CC=C3NN=CC3=C2)=N1,db_29
Belumosudil,-10.18,CC(C)NC(=O)COC1=CC=CC(=C1)C1=NC2=C(C=CC=C2)C(NC2=CC=C3NN=CC3=C2)=N1,db_130
S-49076,-10.17,O=C1CSC(=O)N1CC1=CC2=C(NC(=O)\C2=C/C2=CC(CN3CCOCC3)=CN2)C=C1,db_131
MK-6186,-10.11,ClC1=CC(OC2=C3C=NN(CC4=NNC5=NC=CC=C45)C3=CC=C2Cl)=CC(=C1)C#N,db_69
Relacorilant,-10.08,CN1C=C(C=N1)S(=O)(=O)N1CCC2=CC3=C(C[C@@]2(C1)C(=O)C1=CC(=CC=N1)C(F)(F)F)C=NN3C1=CC=C(F)C=C1,db_92
Relacorilant,-10.08,CN1C=C(C=N1)S(=O)(=O)N1CCC2=CC3=C(C[C@@]2(C1)C(=O)C1=CC(=CC=N1)C(F)(F)F)C=NN3C1=CC=C(F)C=C1,db_150
LDN-193189,-10.08,C1CN(CCN1)C1=CC=C(C=C1)C1=CN2N=CC(=C2N=C1)C1=CC=NC2=CC=CC=C12,db_92
LDN-193189,-10.08,C1CN(CCN1)C1=CC=C(C=C1)C1=CN2N=CC(=C2N=C1)C1=CC=NC2=CC=CC=C12,db_150
AMG-337,-10.01,COCCOC1=CC2=C(C=CN([C@H](C)C3=NN=C4N3C=C(C=C4F)C3=CN(C)N=C3)C2=O)N=C1,db_73
AMG-337,-10.01,COCCOC1=CC2=C(C=CN([C@H](C)C3=NN=C4N3C=C(C=C4F)C3=CN(C)N=C3)C2=O)N=C1,db_115
Gandotinib,-10.01,CC1=CC(NC2=NN3C(CC4=CC=C(Cl)C=C4F)=C(C)N=C3C(CN3CCOCC3)=C2)=NN1,db_73
Gandotinib,-10.01,CC1=CC(NC2=NN3C(CC4=CC=C(Cl)C=C4F)=C(C)N=C3C(CN3CCOCC3)=C2)=NN1,db_115
BMS-754807,-9.99,C[C@]1(CCCN1C1=NN2C=CC=C2C(NC2=NNC(=C2)C2CC2)=N1)C(=O)NC1=CN=C(F)C=C1,db_111
Dactolisib,-9.94,CN1C(=O)N(C2=C1C=NC1=CC=C(C=C21)C1=CN=C2C=CC=CC2=C1)C1=CC=C(C=C1)C(C)(C)C#N,db_24
Elinogrel,-9.9,CNC1=C(F)C=C2C(NC(=O)N(C2=O)C2=CC=C(NC(=O)NS(=O)(=O)C3=CC=C(Cl)S3)C=C2)=C1,db_15
Selonsertib,-9.86,CC(C)N1C=NN=C1C1=CC=CC(NC(=O)C2=CC(N3C=NC(=C3)C3CC3)=C(C)C=C2F)=N1,db_91
Derazantinib,-9.85,COCCNCCC1=CC(NC2=NC=C3C[C@@H](C4=CC=CC=C4F)C4=CC=CC=C4C3=N2)=CC=C1,db_90
Trelanserin,-9.83,NC(=O)CN1C(=O)C=C(CCN2CCN(CC2)C2=C3C=CSC3=CC=N2)C2=CC=C(F)C=C12,db_162
SGX-523,-9.81,CN1C=C(C=N1)C1=NN2C(SC3=CC=C4N=CC=CC4=C3)=NN=C2C=C1,db_12
SGX-523,-9.81,CN1C=C(C=N1)C1=NN2C(SC3=CC=C4N=CC=CC4=C3)=NN=C2C=C1,db_75
MLN8054,-9.81,OC(=O)C1=CC=C(NC2=NC=C3CN=C(C4=C(C=CC(Cl)=C4)C3=N2)C2=C(F)C=CC=C2F)C=C1,db_12
MLN8054,-9.81,OC(=O)C1=CC=C(NC2=NC=C3CN=C(C4=C(C=CC(Cl)=C4)C3=N2)C2=C(F)C=CC=C2F)C=C1,db_75
Lifirafenib,-9.79,FC(F)(F)C1=CC2=C(C=C1)N=C(N2)[C@@H]1[C@H]2OC3=C(C=C(OC4=C5CCC(=O)NC5=NC=C4)C=C3)[C@@H]12,db_83
Telatinib,-9.78,CNC(=O)C1=CC(COC2=C3OC=CC3=C(NC3=CC=C(Cl)C=C3)N=N2)=CC=N1,db_110
Lerociclib,-9.77,CC(C)N1CCN(CC1)C1=CC=C(NC2=NC=C3C=C4N(C3=N2)C2(CCCCC2)CNC4=O)N=C1,db_72
Lerociclib,-9.77,CC(C)N1CCN(CC1)C1=CC=C(NC2=NC=C3C=C4N(C3=N2)C2(CCCCC2)CNC4=O)N=C1,db_123
AG-24322,-9.77,CCNCC1=CN=CC(=C1C)C1=CC=C2NN=C(C3=NC4=C(F)C=C(F)C=C4N3)C2=C1,db_72
AG-24322,-9.77,CCNCC1=CN=CC(=C1C)C1=CC=C2NN=C(C3=NC4=C(F)C=C(F)C=C4N3)C2=C1,db_123
Trilaciclib,-9.73,CN1CCN(CC1)C1=CN=C(NC2=NC3=C(C=C4N3C3(CCCCC3)CNC4=O)C=N2)C=C1,db_112
Fluzoparib,-9.69,FC1=CC=C(CC2=NNC(=O)C3=CC=CC=C23)C=C1C(=O)N1CCN2N=C(N=C2C1)C(F)(F)F,db_114
7-Hydroxystaurosporine,-9.67,[H][C@]12C[C@@H](NC)[C@@H](OC)[C@](C)(O1)N1C3=C(C=CC=C3)C3=C4[C@@H](O)NC(=O)C4=C4C5=C(C=CC=C5)N2C4=C13,db_3
MK-8189,-9.64,CC1=NN=C(CNC2=CC(OC[C@H]3C[C@@H]3C3=CC=C(C)C=N3)=NC(C)=N2)S1,db_124
MK-8189,-9.64,CC1=NN=C(CNC2=CC(OC[C@H]3C[C@@H]3C3=CC=C(C)C=N3)=NC(C)=N2)S1,db_170
Nedisertib,-9.64,COC1=NN=C(C=C1)[C@@H](O)C1=C(Cl)C=C(F)C(=C1)C1=NC=NC2=C1C=CC(=C2)N1CCOCC1,db_124
Nedisertib,-9.64,COC1=NN=C(C=C1)[C@@H](O)C1=C(Cl)C=C(F)C(=C1)C1=NC=NC2=C1C=CC(=C2)N1CCOCC1,db_170
PF-04217903,-9.63,OCCN1C=C(C=N1)C1=CN=C2N=NN(CC3=CC4=CC=CN=C4C=C3)C2=N1,db_65
PF-04217903,-9.63,OCCN1C=C(C=N1)C1=CN=C2N=NN(CC3=CC4=CC=CN=C4C=C3)C2=N1,db_87
PF-05089771,-9.63,NC1=C(C=NN1)C1=CC(Cl)=CC=C1OC1=CC(F)=C(C=C1Cl)S(=O)(=O)NC1=CSC=N1,db_65
PF-05089771,-9.63,NC1=C(C=NN1)C1=CC(Cl)=CC=C1OC1=CC(F)=C(C=C1Cl)S(=O)(=O)NC1=CSC=N1,db_87
Sebetralstat,-9.61,COCC1=NN(CC2=CC=C(CN3C=CC=CC3=O)C=C2)C=C1C(=O)NCC1=NC=CC(OC)=C1F,db_28
Sebetralstat,-9.61,COCC1=NN(CC2=CC=C(CN3C=CC=CC3=O)C=C2)C=C1C(=O)NCC1=NC=CC(OC)=C1F,db_147
Sebetralstat,-9.61,COCC1=NN(CC2=CC=C(CN3C=CC=CC3=O)C=C2)C=C1C(=O)NCC1=NC=CC(OC)=C1F,db_159
MRTX-1719,-9.61,CN1N=CC(=C1C1=C(F)C(Cl)=CC(OC2CC2)=C1C#N)C1=CC=C2C(=O)NN=C(CN)C2=C1,db_28
MRTX-1719,-9.61,CN1N=CC(=C1C1=C(F)C(Cl)=CC(OC2CC2)=C1C#N)C1=CC=C2C(=O)NN=C(CN)C2=C1,db_147
MRTX-1719,-9.61,CN1N=CC(=C1C1=C(F)C(Cl)=CC(OC2CC2)=C1C#N)C1=CC=C2C(=O)NN=C(CN)C2=C1,db_159
BMS-903452,-9.61,CS(=O)(=O)C1=CC=C(N2C=C(Cl)C(OC3CCN(CC3)C3=NC=C(Cl)C=N3)=CC2=O)C(F)=C1,db_28
BMS-903452,-9.61,CS(=O)(=O)C1=CC=C(N2C=C(Cl)C(OC3CCN(CC3)C3=NC=C(Cl)C=N3)=CC2=O)C(F)=C1,db_147
BMS-903452,-9.61,CS(=O)(=O)C1=CC=C(N2C=C(Cl)C(OC3CCN(CC3)C3=NC=C(Cl)C=N3)=CC2=O)C(F)=C1,db_159
GSK-356278,-9.58,CCN1N=CC2=C(NC3CCOCC3)C(=CN=C12)C1=NN=C(CC2=C(C)N=C(C)S2)O1,db_53
X-396,-9.57,C[C@@H](OC1=CC(=NN=C1N)C(=O)NC1=CC=C(C=C1)C(=O)N1CCN(C)CC1)C1=C(Cl)C=CC(F)=C1Cl,db_77
MAK-683,-9.56,CC1=NC=CC=C1C1=CN=C(NCC2=C3CCOC3=CC=C2F)N2C=NN=C12,db_171
Vorolanib,-9.54,CN(C)C(=O)N1CC[C@@H](C1)NC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C,db_102
Lucitanib,-9.52,CNC(=O)C1=C2C=CC(OC3=C4C=C(OC)C(OCC5(N)CC5)=CC4=NC=C3)=CC2=CC=C1,db_31
LY-2584702,-9.51,CN1C=C(N=C1C1CCN(CC1)C1=C2C=NNC2=NC=N1)C1=CC=C(F)C(=C1)C(F)(F)F,db_58
Entospletinib,-9.5,C1CN(CCO1)C1=CC=C(NC2=NC(=CN3C=CN=C23)C2=CC3=C(C=NN3)C=C2)C=C1,db_42
Entospletinib,-9.5,C1CN(CCO1)C1=CC=C(NC2=NC(=CN3C=CN=C23)C2=CC3=C(C=NN3)C=C2)C=C1,db_50
CC-401,-9.5,C(CN1CCCCC1)OC1=CC=CC(=C1)C1=NNC2=CC=C(C=C12)C1=NNC=N1,db_42
CC-401,-9.5,C(CN1CCCCC1)OC1=CC=CC(=C1)C1=NNC2=CC=C(C=C12)C1=NNC=N1,db_50
"3-(4-(1,5-Naphthyridine)imidazole(1,2-a)_pyridine-7-(1-phenyl-4-(1-(4-methyl_piperazine)))",-9.49,CN1CCN(CC1)C1=CC=C(C=C1)C1=CC2=NC=C(N2C=C1)C1=CC=NC2=CC=CN=C12,db_18
"3-(4-(1,5-Naphthyridine)imidazole(1,2-a)_pyridine-7-(1-phenyl-4-(1-(4-methyl_piperazine)))",-9.49,CN1CCN(CC1)C1=CC=C(C=C1)C1=CC2=NC=C(N2C=C1)C1=CC=NC2=CC=CN=C12,db_71
"3-(4-(1,5-Naphthyridine)imidazole(1,2-a)_pyridine-7-(1-phenyl-4-(1-(4-methyl_piperazine)))",-9.49,CN1CCN(CC1)C1=CC=C(C=C1)C1=CC2=NC=C(N2C=C1)C1=CC=NC2=CC=CN=C12,db_148
AMG-208,-9.49,COC1=CC2=NC=CC(OCC3=NN=C4C=CC(=NN34)C3=CC=CC=C3)=C2C=C1,db_18
AMG-208,-9.49,COC1=CC2=NC=CC(OCC3=NN=C4C=CC(=NN34)C3=CC=CC=C3)=C2C=C1,db_71
AMG-208,-9.49,COC1=CC2=NC=CC(OCC3=NN=C4C=CC(=NN34)C3=CC=CC=C3)=C2C=C1,db_148
LY-2874455,-9.49,C[C@@H](OC1=CC=C2NN=C(\C=C\C3=CN(CCO)N=C3)C2=C1)C1=C(Cl)C=NC=C1Cl,db_18
LY-2874455,-9.49,C[C@@H](OC1=CC=C2NN=C(\C=C\C3=CN(CCO)N=C3)C2=C1)C1=C(Cl)C=NC=C1Cl,db_71
LY-2874455,-9.49,C[C@@H](OC1=CC=C2NN=C(\C=C\C3=CN(CCO)N=C3)C2=C1)C1=C(Cl)C=NC=C1Cl,db_148
Zanzalintinib,-9.44,CNC(=O)C1=CC2=C(OC3=CC=C(NC(=O)C4(CC4)C(=O)NC4=CC=C(F)C=C4)C=C3)C=CN=C2C=C1OC,db_145
Ropsacitinib,-9.42,CN1C=C(C=N1)C1=CN2N=CC=C2C(=N1)C1=CN(N=C1)[C@@]1(CC#N)C[C@@H](C1)C#N,db_146
Ropsacitinib,-9.42,CN1C=C(C=N1)C1=CN2N=CC=C2C(=N1)C1=CN(N=C1)[C@@]1(CC#N)C[C@@H](C1)C#N,db_161
Belvarafenib,-9.42,CC1=C(NC(=O)C2=CSC3=C(N)N=CN=C23)C2=CC=NC(NC3=CC=CC(Cl)=C3F)=C2C=C1,db_146
Belvarafenib,-9.42,CC1=C(NC(=O)C2=CSC3=C(N)N=CN=C23)C2=CC=NC(NC3=CC=CC(Cl)=C3F)=C2C=C1,db_161
PF-03814735,-9.41,CC(=O)NCC(=O)N1[C@H]2CC[C@@H]1C1=C2C=CC(NC2=NC=C(C(NC3CCC3)=N2)C(F)(F)F)=C1,db_74
Abivertinib,-9.4,CN1CCN(CC1)C1=C(F)C=C(NC2=NC(OC3=CC=CC(NC(=O)C=C)=C3)=C3C=CNC3=N2)C=C1,db_107
Vebreltinib,-9.36,CN1C=C2C=C(C(F)=CC2=N1)C(F)(F)C1=NN=C2C=CC(=NN12)C1=CN(N=C1)C1CC1,db_132
Lanraplenib,-9.31,NC1=CN=CC(=N1)C1=CN2C=CN=C2C(NC2=CC=C(C=C2)N2CCN(CC2)C2COC2)=N1,db_82
Verubecestat,-9.3,CN1C(N)=N[C@@](C)(CS1(=O)=O)C1=CC(NC(=O)C2=CC=C(F)C=N2)=CC=C1F,db_47
Verubecestat,-9.3,CN1C(N)=N[C@@](C)(CS1(=O)=O)C1=CC(NC(=O)C2=CC=C(F)C=N2)=CC=C1F,db_62
GW-493838,-9.3,CC(C)(C)C1=NN=C(O1)[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(NC3=CC=C(Cl)C=C3F)N=CN=C12,db_47
GW-493838,-9.3,CC(C)(C)C1=NN=C(O1)[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(NC3=CC=C(Cl)C=C3F)N=CN=C12,db_62
PF-06273340,-9.29,CC(C)(CO)N1C=C(C(=O)C2=CC(NC(=O)CC3=CC=C(Cl)C=N3)=CN=C2)C2=CN=C(N)N=C12,db_8
PF-06273340,-9.29,CC(C)(CO)N1C=C(C(=O)C2=CC(NC(=O)CC3=CC=C(Cl)C=N3)=CN=C2)C2=CN=C(N)N=C12,db_46
Motesanib,-9.29,CC1(C)CNC2=CC(NC(=O)C3=C(NCC4=CC=NC=C4)N=CC=C3)=CC=C12,db_8
Motesanib,-9.29,CC1(C)CNC2=CC(NC(=O)C3=C(NCC4=CC=NC=C4)N=CC=C3)=CC=C12,db_46
Vimseltinib,-9.26,CC(C)NC1=NC=C(C(=O)N1C)C1=CC=C(OC2=CC=NC(=C2)C2=CN(C)N=C2)C(C)=N1,db_144
LY-2090314,-9.25,FC1=CC2=C3N(CCN(C2)C(=O)N2CCCCC2)C=C(C3=C1)C1=C(C(=O)NC1=O)C1=CN=C2C=CC=CN12,db_33
INS018_055,-9.24,CC(C)N1C=NC(=C1C1=NC=C(N1)C(=O)NC1=CC=C(C=C1)N1CCN(C)CC1)C1=CC=C(F)C=C1,db_154
Olorofim,-9.23,CN1C(C)=CC(=C1C(=O)C(=O)NC1=CC=C(C=C1)N1CCN(CC1)C1=NC=C(F)C=N1)C1=CC=CC=C1,db_101
Avapritinib,-9.22,CN1C=C(C=N1)C1=CN2N=CN=C(N3CCN(CC3)C3=NC=C(C=N3)[C@@](C)(N)C3=CC=C(F)C=C3)C2=C1,db_99
Cenisertib,-9.21,[H][C@@]12C[C@@]([H])(C=C1)[C@@H]([C@@H]2NC1=C(F)C=NC(NC2=CC=C(N3CCN(C)CC3)C(C)=C2)=N1)C(N)=O,db_14
Cenisertib,-9.21,[H][C@@]12C[C@@]([H])(C=C1)[C@@H]([C@@H]2NC1=C(F)C=NC(NC2=CC=C(N3CCN(C)CC3)C(C)=C2)=N1)C(N)=O,db_160
VLX-1005,-9.21,COC1=CC=CC(CNC2=CC=C(C=C2)S(=O)(=O)NC2=NC3=CC=CC=C3S2)=C1O,db_14
VLX-1005,-9.21,COC1=CC=CC(CNC2=CC=C(C=C2)S(=O)(=O)NC2=NC3=CC=CC=C3S2)=C1O,db_160
Vactosertib,-9.2,CC1=NC(=CC=C1)C1=C(N=C(CNC2=C(F)C=CC=C2)N1)C1=CN2N=CN=C2C=C1,db_106
Sapitinib,-9.19,CNC(=O)CN1CCC(CC1)OC1=C(OC)C=C2N=CN=C(NC3=CC=CC(Cl)=C3F)C2=C1,db_45
MAX-40279,-9.18,COC1=CC(F)=CC=C1C1=C(C)SC2=CN=C(NC3=CN(N=C3)C3CCNCC3)N=C12,db_98
SLC-391,-9.17,NC1=NC=C(C=C1C1=NN=C(CC2CC2)O1)C1=CN(N=C1)C1CCNCC1,db_163
Paltusotine,-9.15,NC1CCN(CC1)C1=C(C=NC2=CC=C(C=C12)C1=C(O)C(=CC=C1)C#N)C1=CC(F)=CC(F)=C1,db_126
IRX-5183,-9.14,CC1(C)CCC(C)(C)C2=C1C=C(C(=O)NC1=CC(F)=C(C(O)=O)C(F)=C1)C(O)=C2Cl,db_9
IRX-5183,-9.14,CC1(C)CCC(C)(C)C2=C1C=C(C(=O)NC1=CC(F)=C(C(O)=O)C(F)=C1)C(O)=C2Cl,db_169
KER-047,-9.14,COC1=CC2=C(C=CN=C2C=C1F)C1=C2N=CC(=CN2N=C1)N1CCC(CC1)N1CCN(C)CC1,db_9
KER-047,-9.14,COC1=CC2=C(C=CN=C2C=C1F)C1=C2N=CC(=CN2N=C1)N1CCC(CC1)N1CCN(C)CC1,db_169
APTO-253,-9.12,CC1=C(C2=NC3=C(N2)C2=CC=CN=C2C2=C3C=CC=N2)C2=C(N1)C=CC(F)=C2,db_140
"3-(4-(8-Fluoroquinoline)_imidazole(1,2-a)pyridine-7-(1-phenyl-4-(1-(4-methyl_piperazine)",-9.06,CN1CCN(CC1)C1=CC=C(C=C1)C1=CC2=NC=C(N2C=C1)C1=CC=NC2=C(F)C=CC=C12,db_149
AZD-2066,-9.05,C[C@@H](OC1=NN=C(N1C)C1=CC=NC=C1)C1=NOC(=C1)C1=CC=CC(Cl)=C1,db_57
Erdafitinib,-9.0,COC1=CC(=CC(OC)=C1)N(CCNC(C)C)C1=CC=C2N=CC(=NC2=C1)C1=CN(C)N=C1,db_43
JNJ-38877618,-8.98,FC(F)(C1=NN=C2C=CC(=NN12)C1=CC=NC=C1)C1=CC2=C(C=C1)N=CC=C2,db_137
E-2012,-8.96,[H]\C(C1=CC(OC)=C(C=C1)N1C=NC(C)=C1)=C1\CCCN(C1=O)[C@@]([H])(C)C1=CC=C(F)C=C1,db_7
E-2012,-8.96,[H]\C(C1=CC(OC)=C(C=C1)N1C=NC(C)=C1)=C1\CCCN(C1=O)[C@@]([H])(C)C1=CC=C(F)C=C1,db_120
Dezapelisib,-8.96,C[C@H](NC1=C2N=CNC2=NC=N1)C1=C(C(=O)N2C(C)=CSC2=N1)C1=CC=CC(F)=C1,db_7
Dezapelisib,-8.96,C[C@H](NC1=C2N=CNC2=NC=N1)C1=C(C(=O)N2C(C)=CSC2=N1)C1=CC=CC(F)=C1,db_120
GB1211,-8.95,OCC1OC(SC2=CN=CC(Br)=C2)C(O)C(C1O)N1C=C(N=N1)C1=CC(F)=C(F)C(F)=C1,db_48
GB1211,-8.95,OCC1OC(SC2=CN=CC(Br)=C2)C(O)C(C1O)N1C=C(N=N1)C1=CC(F)=C(F)C(F)=C1,db_143
Cipargamin,-8.95,C[C@H]1CC2=C(NC3=CC(Cl)=C(F)C=C23)[C@@]2(N1)C(=O)NC1=CC=C(Cl)C=C21,db_48
Cipargamin,-8.95,C[C@H]1CC2=C(NC3=CC(Cl)=C(F)C=C23)[C@@]2(N1)C(=O)NC1=CC=C(Cl)C=C21,db_143
Crizotinib,-8.94,C[C@@H](OC1=CC(=CN=C1N)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl,db_20
JNJ-38877605,-8.91,CN1C=C(C=N1)C1=NN2C(C=C1)=NN=C2C(F)(F)C1=CC=C2N=CC=CC2=C1,db_78
AZD-3839,-8.86,NC1=N[C@@](C2=CC=CC(F)=C12)(C1=CC=CC(=C1)C1=CN=CN=C1)C1=CC=NC(=C1)C(F)F,db_49
Linifanib,-8.85,CC1=CC(NC(=O)NC2=CC=C(C=C2)C2=C3C(N)=NNC3=CC=C2)=C(F)C=C1,db_10
Povorcitinib,-8.84,C[C@H](NC(=O)C1=CC(F)=C(C=C1F)N1CC(CC#N)(C1)N1C=C(C=N1)C1=C(C)NN=C1C)C(F)(F)F,db_164
Remibrutinib,-8.83,CN(CCOC1=C(N)N=CN=C1C1=C(C)C(NC(=O)C2=C(F)C=C(C=C2)C2CC2)=CC(F)=C1)C(=O)C=C,db_134
Ilginatinib,-8.77,C[C@H](NC1=CC(=CC(NC2=CN=CC=N2)=N1)C1=CN(C)N=C1)C1=CC=C(F)C=C1,db_63
AZD-8186,-8.76,C[C@@H](NC1=CC(F)=CC(F)=C1)C1=CC(=CC2=C1OC(=CC2=O)N1CCOCC1)C(=O)N(C)C,db_93
NVP-LEQ-506,-8.74,C[C@@H]1CN(CCN1C1=CN=C(C=N1)C(C)(C)O)C1=NN=C(CC2=CC=CC=C2)C(C)=C1C,db_66
AZD-1656,-8.72,COC[C@H](C)OC1=CC(=CC(OC2=NC=C(N=C2)C(=O)N2CCC2)=C1)C(=O)NC1=NC=C(C)N=C1,db_85
AZD-1656,-8.72,COC[C@H](C)OC1=CC(=CC(OC2=NC=C(N=C2)C(=O)N2CCC2)=C1)C(=O)NC1=NC=C(C)N=C1,db_133
Mivavotinib,-8.72,CN1C=C(C=N1)C1=C2C(=O)NCC2=C(F)C(N[C@@H]2CCCC[C@@H]2N)=N1,db_85
Mivavotinib,-8.72,CN1C=C(C=N1)C1=C2C(=O)NCC2=C(F)C(N[C@@H]2CCCC[C@@H]2N)=N1,db_133
Reldesemtiv,-8.67,NC(=O)C1=CN(C=C1)C1=CN=C(NC[C@@]2(C[C@H](F)C2)C2=NC=CC=C2F)N=C1,db_6
Reldesemtiv,-8.67,NC(=O)C1=CN(C=C1)C1=CN=C(NC[C@@]2(C[C@H](F)C2)C2=NC=CC=C2F)N=C1,db_104
Cediranib,-8.67,COC1=CC2=C(C=C1OCCCN1CCCC1)N=CN=C2OC1=C(F)C2=C(NC(C)=C2)C=C1,db_6
Cediranib,-8.67,COC1=CC2=C(C=C1OCCCN1CCCC1)N=CN=C2OC1=C(F)C2=C(NC(C)=C2)C=C1,db_104
Copanlisib,-8.66,COC1=C(OCCCN2CCOCC2)C=CC2=C1N=C(NC(=O)C1=CN=C(N)N=C1)N1CCN=C21,db_51
Apalutamide,-8.65,CNC(=O)C1=CC=C(C=C1F)N1C(=S)N(C(=O)C11CCC1)C1=CC(=C(N=C1)C#N)C(F)(F)F,db_32
AZD2066,-8.63,C[C@@H](OC1=NN=C(N1C)C1=CC=NC=C1)C1=NOC(=C1)C1=CC(Cl)=CC=C1,db_139
Ilorasertib,-8.61,NC1=C2C(SC=C2C2=CC=C(NC(=O)NC3=CC(F)=CC=C3)C=C2)=C(C=N1)C1=CN(CCO)N=C1,db_25
Savolitinib,-8.59,C[C@H](N1N=NC2=NC=C(N=C12)C1=CN(C)N=C1)C1=CN2C=CN=C2C=C1,db_39
GSK-364735,-8.52,CN1C(=O)C(C(=O)NCCO)=C(O)C2=NC=C(CC3=CC=C(F)C=C3)C=C12,db_79
GSK-364735,-8.52,CN1C(=O)C(C(=O)NCCO)=C(O)C2=NC=C(CC3=CC=C(F)C=C3)C=C12,db_117
GSK-364735,-8.52,CN1C(=O)C(C(=O)NCCO)=C(O)C2=NC=C(CC3=CC=C(F)C=C3)C=C12,db_136
